Age,BestSquatKg
69.0,95.0
22.0,82.5
24.0,-237.5
17.0,151.95
34.0,92.5
23.5,300.0
72.5,145.0
22.5,210.0
34.0,137.5
11.0,77.5
22.5,185.0
19.0,157.5
29.5,155.0
26.0,292.5
33.0,92.99
21.5,177.5
30.0,210.0
66.0,142.5
19.5,207.5
57.0,125.0
21.5,295.0
21.0,210.0
26.0,212.5
17.5,170.0
26.0,-212.5
48.5,360.0
64.0,50.0
17.5,210.0
31.0,215.0
28.0,217.5
26.0,115.0
20.5,192.5
17.5,227.5
21.5,145.0
22.0,70.0
20.5,137.5
23.0,107.5
23.0,272.5
62.0,260.82
21.5,195.0
30.0,310.0
24.0,215.0
51.0,140.0
31.0,100.0
35.0,210.0
30.0,187.5
20.5,202.5
22.0,95.0
29.5,210.0
23.5,215.0
23.0,195.0
20.5,235.0
17.5,162.5
17.5,162.5
44.0,312.5
18.0,210.0
17.5,145.0
17.0,142.88
22.5,232.5
31.0,127.5
41.0,100.0
37.0,82.5
42.0,120.0
42.0,220.0
26.5,82.5
23.0,92.5
22.0,220.0
42.5,113.4
31.0,170.0
21.0,302.5
20.5,120.0
18.0,87.5
25.0,240.0
68.0,167.5
20.5,210.0
19.5,145.0
66.5,175.0
18.5,142.5
25.5,245.0
41.0,230.0
30.0,210.0
45.0,157.5
35.5,290.0
21.5,232.5
33.0,162.5
67.0,65.0
54.5,163.0
37.0,227.5
51.5,204.1
25.0,292.5
27.5,240.0
19.5,80.0
25.0,227.5
26.0,137.5
29.0,-110.0
28.0,130.0
23.5,120.0
26.0,175.0
36.0,172.5
26.0,162.5
23.5,197.5
38.0,175.0
27.0,182.5
38.0,185.0
34.5,100.0
23.0,127.5
23.0,160.0
19.0,250.0
26.0,225.0
49.5,175.0
23.0,27.5
38.5,197.5
31.0,120.0
31.5,252.5
26.5,180.0
27.0,250.0
21.5,140.0
27.0,150.0
27.5,132.5
55.0,307.5
41.5,332.5
75.0,97.5
31.5,200.0
22.5,270.0
44.0,82.5
51.0,205.0
35.5,265.0
21.5,240.0
34.0,130.0
29.0,155.0
28.5,200.0
17.0,182.5
22.5,352.5
31.5,182.5
19.0,217.5
22.0,82.5
34.0,130.0
26.0,187.5
24.0,105.0
27.0,272.5
46.0,195.0
20.5,100.0
24.0,82.5
38.0,200.0
22.0,242.5
29.5,75.0
50.0,75.0
16.5,130.0
27.0,117.93
28.0,125.0
35.5,226.8
41.5,190.0
27.5,160.0
17.5,142.9
26.5,235.0
14.0,70.0
32.0,155.0
41.0,182.5
34.0,200.0
28.5,206.0
36.0,290.0
38.0,192.44
26.5,142.5
72.0,52.5
16.5,220.0
18.5,152.5
14.0,182.5
16.5,157.5
23.0,172.5
50.5,220.0
26.5,107.5
29.0,97.5
20.5,237.5
28.0,182.5
20.0,217.5
46.0,97.5
40.0,187.5
29.0,60.0
20.0,92.5
26.5,200.0
32.5,215.0
36.0,187.5
26.5,197.5
38.0,145.0
27.0,75.0
17.0,160.0
31.0,200.0
61.5,85.0
29.5,162.5
69.0,192.5
26.5,207.5
34.0,187.5
23.0,220.0
46.5,147.5
25.5,217.5
22.0,180.0
12.5,65.0
26.0,285.0
45.0,182.5
32.5,120.0
23.5,202.5
46.5,207.5
37.0,207.5
37.5,127.5
17.5,210.0
28.5,150.0
20.5,100.0
41.0,132.5
37.0,251.74
49.0,87.5
